,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
177,2022-05-07,Sat,36,Home,D 1–1,Liverpool,Tottenham,Y,"RW,RM",90,0,0,0,0,3,0,0,0,44,0,0,0,0.4,0.4,0.1,2,0,20,32,2,35,5,1,1,266,71,12,15,5,9,1,2,0.0,2,1,2,0,32,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,7,239.0,115.0,3,4,2,6,40,17,0,4,0,24.8,8.8,5.6,2022-05-07 18:45:00+00:00,90,0,36,0,5388439,58.0,2,-18428,58868,77296,133,2022-05-07
178,2022-05-10,Tue,33,Away,W 2–1,Liverpool,Aston Villa,N,RW,19,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,1,0,5,8,0,7,0,1,0,29,10,4,5,0,0,0,0,0.0,1,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,5,15.0,4.0,1,0,1,1,9,5,0,2,0,11.0,3.9,2.2,2022-05-10 19:00:00+00:00,18,0,36,0,5388439,26.0,1,-18428,58868,77296,133,2022-05-10
179,2022-05-22,Sun,38,Home,W 3–1,Liverpool,Wolves,N,RW,33,1,0,0,0,8,3,0,0,20,0,0,1,1.0,1.0,0.0,2,0,8,11,2,12,1,0,0,92,23,5,6,3,3,0,0,0.0,0,0,1,0,10,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19,10,58.0,38.0,1,1,0,1,14,5,0,22,0,0.0,0.0,0.0,2022-05-22 15:00:00+00:00,32,0,38,0,3664020,0.0,6,-778411,10087,788498,131,2022-05-22
180,2022-08-06,Sat,1,Away,D 2–2,Liverpool,Fulham,Y,RW,90,1,0,0,0,2,1,0,0,47,0,1,0,0.4,0.4,0.1,2,0,24,34,6,31,4,6,2,328,113,14,19,8,11,1,2,0.2,1,2,4,1,33,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,14,33,4,144.0,61.0,0,1,3,0,36,11,2,34,0,20.0,8.5,39.6,2022-08-06 11:30:00+00:00,90,0,1,0,4848340,25.0,12,0,0,0,130,2022-08-06
181,2022-08-15,Mon,2,Home,D 1–1,Liverpool,Crystal Palace,Y,"RW,FW",90,0,0,0,0,3,1,0,0,51,0,0,0,0.3,0.3,0.8,9,0,27,35,9,37,0,6,1,488,158,12,15,9,12,5,6,0.3,8,2,8,1,35,0,0,0,1,3,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,41,9,164.0,52.0,1,1,6,2,41,19,0,5,0,89.7,14.6,18.6,2022-08-15 19:00:00+00:00,90,0,2,0,5570821,38.0,2,133225,175994,42769,130,2022-08-15
182,2022-08-22,Mon,3,Away,L 1–2,Liverpool,Manchester Utd,Y,RW,90,1,0,0,0,3,1,0,0,35,1,0,0,0.3,0.3,0.3,7,0,16,26,0,26,3,4,2,192,31,10,12,4,7,1,2,0.4,4,0,0,0,25,0,0,0,0,1,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,8,25,7,138.0,52.0,1,4,1,6,31,12,1,23,0,45.1,15.6,44.0,2022-08-22 19:00:00+00:00,90,0,3,0,5661806,67.0,8,-84176,135020,219196,130,2022-08-22
183,2022-08-27,Sat,4,Home,W 9–0,Liverpool,Bournemouth,Y,RW,90,0,0,0,0,4,1,0,0,53,0,0,1,1.2,1.2,0.1,3,1,31,39,7,39,7,3,0,382,124,22,25,7,8,0,1,0.1,2,0,3,0,39,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,46,13,280.0,159.0,4,5,4,2,47,20,0,-5,1,28.1,8.3,2.4,2022-08-27 14:00:00+00:00,90,0,4,0,5784665,52.0,3,-19068,140231,159299,130,2022-08-27
184,2022-08-31,Wed,5,Home,W 2–1,Liverpool,Newcastle Utd,Y,RW,90,0,2,0,0,2,0,0,0,33,0,0,0,0.2,0.2,0.4,7,2,21,24,4,20,4,6,3,282,81,13,14,7,7,0,0,0.3,6,0,3,0,21,2,0,0,0,0,2,0,1,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,10,133.0,56.0,1,2,0,3,21,11,2,28,0,64.3,14.7,44.0,2022-08-31 19:00:00+00:00,90,0,5,0,5360861,39.0,10,-466694,61038,527732,130,2022-08-31
185,2022-09-03,Sat,6,Away,D 0–0,Liverpool,Everton,Y,RW,90,0,0,0,0,3,1,0,0,39,2,0,0,0.2,0.2,0.2,4,0,18,28,3,26,3,2,1,348,107,10,13,5,10,3,3,0.2,3,0,3,1,28,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,1,8,30,7,164.0,84.0,1,1,0,4,30,13,0,8,1,37.3,9.3,14.6,2022-09-03 11:30:00+00:00,90,0,6,0,5299328,41.0,3,-160589,147858,308447,130,2022-09-03
186,2022-10-01,Sat,9,Home,D 3–3,Liverpool,Brighton,Y,"RW,RM",90,0,1,0,0,5,2,0,0,38,0,0,0,0.6,0.6,0.1,2,1,16,21,4,19,4,4,1,201,90,11,12,3,5,1,2,0.3,1,1,3,0,21,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,5,5,29,8,327.0,106.0,3,5,3,3,25,10,0,3,0,13.1,10.1,18.4,2022-10-01 14:00:00+00:00,90,0,9,0,3748869,69.0,5,-83071,226728,309799,128,2022-10-01
187,2022-10-09,Sun,10,Away,L 2–3,Liverpool,Arsenal,Y,RW,68,0,0,0,0,1,0,0,0,23,0,0,1,0.1,0.1,0.0,2,0,17,19,1,12,2,3,2,202,44,13,13,3,4,1,1,0.0,1,1,1,0,17,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,10,10,1,97.0,69.0,0,1,0,2,15,1,0,5,0,12.0,1.8,1.8,2022-10-09 15:30:00+00:00,68,0,10,0,3017511,4.0,2,-717057,19774,736831,127,2022-10-09
188,2022-10-16,Sun,11,Home,W 1–0,Liverpool,Manchester City,Y,FW,89,1,0,0,0,3,1,0,0,26,0,1,0,0.9,0.9,0.0,0,0,11,14,1,17,4,1,0,133,34,5,6,4,4,0,0,0.3,0,1,0,0,12,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,17,6,182.0,92.0,3,4,6,5,22,7,0,15,1,5.7,5.9,30.4,2022-10-16 15:30:00+00:00,89,0,11,0,2730746,23.0,8,-304283,48436,352719,127,2022-10-16
189,2022-10-19,Wed,12,Home,W 1–0,Liverpool,West Ham,Y,"RM,FW",90,0,0,0,0,6,2,0,0,46,0,0,1,0.4,0.4,0.0,4,0,27,30,4,35,2,5,1,274,97,16,18,6,7,0,0,0.0,1,0,3,0,29,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,14,29,8,181.0,105.0,4,2,2,1,38,8,0,2,1,14.3,9.3,5.4,2022-10-19 18:30:00+00:00,90,0,12,0,4291826,73.0,3,797928,824446,26518,127,2022-10-19
190,2022-10-22,Sat,13,Away,L 0–1,Liverpool,Nott'ham Forest,Y,FW,90,0,0,0,0,4,2,0,0,17,0,0,0,0.3,0.3,0.1,0,0,5,7,0,17,0,0,0,54,0,4,6,1,1,0,0,0.0,1,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,8,43.0,4.0,0,0,2,5,17,6,0,1,0,10.8,8.1,6.0,2022-10-22 11:30:00+00:00,90,0,13,0,3635813,64.0,2,90640,221071,130431,128,2022-10-22
191,2022-10-29,Sat,14,Home,L 1–2,Liverpool,Leeds United,Y,FW,90,1,0,0,0,7,3,0,0,48,0,0,0,0.8,0.8,0.2,7,1,22,32,4,31,2,7,2,284,87,10,14,9,12,0,2,0.1,1,4,1,0,31,1,0,0,0,0,1,0,0,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,16,30,10,197.0,94.0,0,2,1,3,35,14,0,23,0,15.0,15.6,40.6,2022-10-29 18:45:00+00:00,90,0,14,0,3412918,100.0,7,-228412,73841,302253,128,2022-10-29
192,2022-11-06,Sun,15,Away,W 2–1,Liverpool,Tottenham,Y,FW,89,2,0,0,0,3,3,0,0,56,1,0,1,0.7,0.7,0.0,0,0,32,39,2,39,2,2,0,349,71,20,22,7,10,0,1,0.0,0,2,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,1,0,1,6,29,21,9,130.0,68.0,1,1,8,1,43,7,3,41,0,3.7,13.8,71.2,2022-11-06 16:30:00+00:00,90,0,15,0,3189108,63.0,15,-230891,66696,297587,128,2022-11-06
193,2022-11-12,Sat,16,Home,W 3–1,Liverpool,Southampton,Y,RW,90,0,0,0,0,4,2,0,0,37,1,0,1,0.8,0.8,0.0,5,2,14,25,2,29,2,4,2,167,42,9,14,4,7,0,0,0.0,0,0,0,0,25,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,13,24,7,126.0,46.0,0,1,6,3,36,12,0,-2,0,5.1,7.5,8.2,2022-11-12 15:00:00+00:00,90,0,16,0,3491354,62.0,2,275117,303573,28456,128,2022-11-12
194,2022-12-26,Mon,17,Away,W 3–1,Liverpool,Aston Villa,Y,"RW,FW",90,1,1,0,0,3,2,0,0,41,0,0,0,0.8,0.8,0.4,7,1,23,30,1,23,3,3,1,312,72,17,20,4,5,2,2,0.0,4,1,0,0,29,0,0,0,0,1,0,0,1,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,19,20,8,147.0,76.0,2,3,3,1,36,8,2,33,0,43.9,14.8,55.8,2022-12-26 17:30:00+00:00,90,0,17,0,3599066,48.0,12,100322,630382,530060,128,2022-12-26
195,2022-12-30,Fri,18,Home,W 2–1,Liverpool,Leicester City,Y,RW,90,0,0,0,0,4,2,0,0,25,2,1,1,1.0,1.0,0.1,5,0,10,14,2,13,1,2,1,119,55,7,7,2,4,0,0,0.0,1,2,1,0,13,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,2,3,1,0,1,0,0,0,2,7,16,8,30.0,20.0,0,1,3,1,17,9,0,4,0,11.4,7.4,11.0,2022-12-30 20:00:00+00:00,90,0,18,0,3793703,52.0,2,181941,194471,12530,128,2022-12-30
196,2023-01-02,Mon,19,Away,L 1–3,Liverpool,Brentford,Y,RW,90,0,0,0,0,1,0,0,0,44,0,0,0,0.0,0.0,0.3,4,0,27,38,4,34,2,2,1,330,79,20,25,6,9,0,1,0.5,2,1,4,0,38,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,30,5,247.0,87.0,3,0,0,1,38,9,0,12,0,32.2,6.6,6.2,2023-01-02 17:30:00+00:00,90,0,19,0,3862989,28.0,2,62191,137388,75197,129,2023-01-02
197,2023-01-14,Sat,20,Away,L 0–3,Liverpool,Brighton,Y,"FW,RW",90,0,0,0,0,1,0,0,0,36,1,1,2,0.0,0.0,0.1,1,0,16,20,4,22,2,0,0,248,105,5,8,8,8,0,1,0.1,1,1,2,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,6,15,15,3,124.0,32.0,0,2,8,3,24,8,0,4,0,11.4,2.7,5.4,2023-01-14 15:00:00+00:00,90,0,20,0,3309325,10.0,2,-530891,46486,577377,129,2023-01-14
198,2023-01-21,Sat,21,Home,D 0–0,Liverpool,Chelsea,Y,RW,90,0,0,0,0,1,0,0,0,45,2,0,3,0.1,0.1,0.1,5,0,26,33,4,25,3,4,2,270,63,23,28,3,4,0,0,0.1,1,2,2,0,33,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,1,0,0,3,0,0,0,1,16,28,9,106.0,59.0,0,3,2,1,33,12,0,12,1,15.9,4.7,7.4,2023-01-21 12:30:00+00:00,90,0,21,0,3073329,24.0,3,-266371,37390,303761,128,2023-01-21
199,2023-02-04,Sat,22,Away,L 0–3,Liverpool,Wolves,Y,"RW,FW",90,0,0,0,0,2,0,0,0,38,1,0,0,0.2,0.2,0.0,0,0,21,29,4,23,1,1,0,266,74,17,19,3,3,1,2,0.0,0,3,1,0,28,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,3,14,21,8,102.0,52.0,0,1,4,1,27,9,0,3,0,3.5,2.2,0.0,2023-02-04 15:00:00+00:00,90,0,22,0,2649363,20.0,2,-426738,20670,447408,127,2023-02-04
200,2023-02-13,Mon,23,Home,W 2–0,Liverpool,Everton,Y,RW,89,1,0,0,0,6,3,0,0,54,1,0,0,1.1,1.1,0.0,5,2,31,36,3,39,7,7,3,357,106,19,21,9,9,0,0,0.0,1,1,3,0,34,1,0,0,0,0,1,0,1,4,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,20,28,7,307.0,127.0,1,3,3,2,48,17,3,31,1,14.1,13.0,46.6,2023-02-13 20:00:00+00:00,89,0,23,0,2419880,69.0,11,-233056,11357,244413,127,2023-02-13
201,2023-02-18,Sat,24,Away,W 2–0,Liverpool,Newcastle Utd,Y,RW,90,0,1,0,0,2,1,0,0,32,0,0,1,0.2,0.2,0.3,4,2,19,24,5,19,3,2,0,285,72,8,10,11,13,0,0,0.4,1,2,1,0,23,1,0,1,0,0,1,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,12,18,6,112.0,73.0,1,2,3,1,23,9,0,18,1,14.8,5.7,21.0,2023-02-18 17:30:00+00:00,90,0,24,0,2455066,21.0,6,27766,71758,43992,126,2023-02-18
202,2023-02-25,Sat,25,Away,D 0–0,Liverpool,Crystal Palace,Y,RW,90,0,0,0,0,3,1,0,0,31,0,0,0,0.1,0.1,0.3,4,0,19,26,2,22,1,2,2,197,49,15,18,2,2,0,0,0.4,3,0,1,0,24,2,1,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,19,4,126.0,80.0,3,1,1,1,24,8,0,11,1,36.7,7.2,8.2,2023-02-25 19:45:00+00:00,90,0,25,0,3704390,27.0,3,828723,851934,23211,127,2023-02-25
203,2023-03-01,Wed,7,Home,W 2–0,Liverpool,Wolves,Y,RW,90,1,0,0,0,2,1,0,0,35,0,0,0,0.7,0.7,0.2,2,0,20,26,3,25,5,4,2,213,73,13,14,3,5,1,3,0.1,1,2,1,1,26,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,5,192.0,109.0,3,3,3,2,32,11,0,24,1,20.4,8.6,38.2,2023-03-01 20:00:00+00:00,90,0,25,0,3704390,27.0,8,828723,851934,23211,127,2023-03-01
204,2023-03-05,Sun,26,Home,W 7–0,Liverpool,Manchester Utd,Y,RW,90,2,2,0,0,3,2,1,0,53,1,0,3,0.7,0.7,0.6,6,3,24,34,7,41,2,4,1,339,178,15,19,5,8,3,3,0.5,3,2,4,1,34,0,0,1,0,1,0,0,0,5,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,2,1,0,3,0,0,0,3,21,30,9,219.0,67.0,1,2,6,1,44,13,3,64,1,40.1,19.5,106.0,2023-03-05 16:30:00+00:00,90,0,26,0,2970326,49.0,21,-309805,38157,347962,127,2023-03-05
205,2023-03-11,Sat,27,Away,L 0–1,Liverpool,Bournemouth,Y,RW,90,0,0,0,1,1,1,0,0,39,0,0,1,0.9,0.1,0.0,3,0,24,33,5,25,1,2,1,410,94,11,17,9,12,3,3,0.4,0,2,2,0,32,1,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,23,4,78.0,26.0,0,1,2,2,33,11,0,-4,0,8.4,3.1,3.6,2023-03-11 12:30:00+00:00,90,0,27,0,3256771,19.0,0,267829,320063,52234,128,2023-03-11
206,2023-04-01,Sat,29,Away,L 1–4,Liverpool,Manchester City,Y,RW,69,1,0,0,0,2,1,1,0,17,0,0,1,0.2,0.2,0.1,2,0,10,13,2,8,4,0,0,159,26,5,6,5,6,0,0,0.0,1,0,1,0,11,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,10,3,96.0,71.0,1,2,1,0,11,4,0,21,0,11.3,6.9,33.6,2023-04-01 11:30:00+00:00,69,0,29,0,3121203,24.0,6,217696,277487,59791,128,2023-04-01
207,2023-04-04,Tue,8,Away,D 0–0,Liverpool,Chelsea,N,RW,26,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,0,0,7,10,1,9,1,1,1,86,26,5,7,2,2,0,0,0.0,0,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1,51.0,12.0,0,1,0,0,11,4,0,3,0,1.3,0.6,2.6,2023-04-04 19:00:00+00:00,25,0,29,0,3121203,2.0,1,217696,277487,59791,128,2023-04-04
208,2023-04-09,Sun,30,Home,D 2–2,Liverpool,Arsenal,Y,RW,90,1,0,0,1,9,3,0,0,67,1,0,1,2.1,1.4,0.4,3,0,30,39,7,34,4,7,0,475,119,17,19,9,11,2,4,0.2,2,1,3,0,37,1,1,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,1,0,0,0,3,18,47,20,283.0,123.0,4,3,7,1,48,14,0,6,0,28.2,18.4,35.8,2023-04-09 15:30:00+00:00,90,0,30,0,2983315,120.0,5,-106297,39680,145977,128,2023-04-09
209,2023-04-17,Mon,31,Away,W 6–1,Liverpool,Leeds United,Y,RW,80,2,0,0,0,3,2,0,0,62,0,0,0,0.7,0.7,0.0,2,1,42,54,3,53,3,3,1,606,57,25,32,17,18,0,2,0.1,0,1,1,0,54,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,30,7,194.0,110.0,3,1,2,0,56,13,2,45,0,7.3,12.1,65.2,2023-04-17 19:00:00+00:00,80,0,31,0,3083036,48.0,14,95351,157308,61957,128,2023-04-17
210,2023-04-22,Sat,32,Home,W 3–2,Liverpool,Nott'ham Forest,Y,RW,90,1,0,0,0,3,1,0,0,63,0,0,1,0.4,0.4,0.1,4,1,43,52,9,38,7,4,1,646,155,20,23,21,25,1,2,0.3,2,2,4,0,51,1,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,21,41,9,249.0,155.0,4,4,2,1,49,15,0,30,0,28.8,10.4,37.4,2023-04-22 14:00:00+00:00,90,0,32,0,3933432,38.0,7,517065,528279,11214,129,2023-04-22
211,2023-04-26,Wed,33,Away,W 2–1,Liverpool,West Ham,Y,RW,90,0,0,0,0,3,0,0,0,52,1,0,0,0.1,0.1,0.0,5,0,38,45,6,41,3,1,1,544,95,22,26,12,13,2,3,0.1,1,3,2,0,45,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,5,24,23,6,184.0,89.0,2,1,2,0,44,12,0,13,0,22.5,5.1,8.2,2023-04-26 18:45:00+00:00,90,0,33,0,3747901,20.0,2,145628,212176,66548,130,2023-04-26
212,2023-04-30,Sun,34,Home,W 4–3,Liverpool,Tottenham,Y,RW,90,1,0,1,1,2,0,0,0,56,2,0,0,0.9,0.1,0.0,3,2,36,41,7,38,4,9,3,640,130,15,15,17,21,4,4,0.1,0,7,2,0,40,1,1,1,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,1,2,1,0,0,0,0,0,1,27,30,12,174.0,86.0,4,2,4,1,50,15,0,24,0,8.4,8.9,37.0,2023-04-30 15:30:00+00:00,90,0,34,0,3938062,44.0,7,133703,244875,111172,130,2023-04-30
213,2023-05-03,Wed,28,Home,W 1–0,Liverpool,Fulham,Y,RW,83,1,0,1,1,2,0,0,0,67,1,0,0,1.2,0.4,0.2,4,0,41,57,4,41,2,5,5,643,207,24,31,13,16,3,5,0.1,2,1,1,0,54,2,0,1,0,0,2,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,4,23,40,9,176.0,104.0,3,1,4,1,55,14,3,31,1,31.0,11.9,44.2,2023-05-03 19:00:00+00:00,83,0,34,0,3938062,44.0,11,133703,244875,111172,130,2023-05-03
214,2023-05-06,Sat,35,Home,W 1–0,Liverpool,Brentford,Y,RW,90,1,0,0,0,3,2,0,0,56,0,1,0,1.0,1.0,0.2,7,0,34,46,6,38,2,3,2,576,185,19,24,11,15,4,6,0.1,3,1,4,1,44,2,0,0,1,4,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,13,39,6,197.0,93.0,4,2,1,4,42,10,2,31,1,40.4,14.1,46.2,2023-05-06 16:30:00+00:00,90,0,35,0,4027775,54.0,10,135958,177892,41934,130,2023-05-06
215,2023-05-15,Mon,36,Away,W 3–0,Liverpool,Leicester City,Y,RW,87,0,3,0,0,5,1,0,0,52,1,0,0,0.9,0.9,0.9,4,3,31,40,6,41,5,2,0,410,138,16,17,12,14,0,1,0.4,4,2,5,1,37,1,1,1,0,2,0,0,2,3,1,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,19,31,10,193.0,74.0,2,5,0,8,43,10,0,33,1,52.7,15.8,57.0,2023-05-15 19:00:00+00:00,87,0,36,0,4111608,48.0,12,76997,105527,28530,131,2023-05-15
216,2023-05-20,Sat,37,Home,D 1–1,Liverpool,Aston Villa,Y,RW,90,0,1,0,0,2,1,0,0,48,0,0,1,0.1,0.1,0.4,2,1,22,34,2,38,6,8,2,300,77,13,20,8,9,0,2,0.4,1,1,1,0,33,1,0,1,0,5,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,40,21,199.0,80.0,2,6,3,3,36,16,0,13,0,21.0,10.9,24.4,2023-05-20 14:00:00+00:00,90,0,37,0,4046340,64.0,5,-54001,92075,146076,131,2023-05-20
217,2023-05-28,Sun,38,Away,D 4–4,Liverpool,Southampton,Y,"RW,RM",90,0,1,0,0,8,1,0,0,60,2,0,1,1.2,1.2,0.2,6,1,27,38,5,40,9,6,4,423,89,13,19,14,15,0,2,0.3,2,1,4,0,36,2,0,1,0,2,2,0,0,4,0,2,0,0,0,1,0,0,0,0,0,1,0,1,1,1,2,1,0,1,0,0,0,0,15,45,14,301.0,183.0,4,7,4,3,44,19,0,8,0,0.0,0.0,0.0,2023-05-28 15:30:00+00:00,90,0,38,0,4276453,0.0,5,196621,227975,31354,131,2023-05-28
218,2023-08-13,Sun,1,Away,D 1–1,Liverpool,Chelsea,Y,RW,76,0,1,0,0,3,0,0,0,29,1,0,1,0.3,0.3,0.5,3,1,18,23,3,21,2,0,0,289,74,9,11,6,7,2,2,0.3,1,1,3,1,22,1,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,13,16,3,92.0,43.0,2,1,1,2,25,4,0,15,0,20.2,4.9,16.6,2023-08-13 15:30:00+00:00,76,0,1,0,2243674,12.0,5,0,0,0,125,2023-08-13
219,2023-08-19,Sat,2,Home,W 3–1,Liverpool,Bournemouth,Y,"RW,FW",85,1,0,0,1,4,2,0,0,44,1,0,1,1.2,0.3,0.0,3,1,28,33,4,30,2,3,0,385,81,15,17,8,9,1,2,0.1,2,1,2,0,33,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,20,23,8,127.0,69.0,1,0,1,3,37,6,0,15,0,33.0,15.3,41.4,2023-08-19 14:00:00+00:00,85,0,2,0,2739755,79.0,5,163064,211617,48553,125,2023-08-19
220,2023-08-27,Sun,3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"FW,RW,RM",90,0,1,0,0,2,1,0,0,36,1,1,0,0.2,0.2,0.4,4,2,23,24,1,28,1,5,3,303,79,15,16,7,7,0,0,0.1,2,2,1,0,23,1,0,1,0,0,1,0,0,3,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,19,15,4,135.0,44.0,0,2,2,3,28,7,0,19,0,24.9,7.0,28.6,2023-08-27 15:30:00+00:00,90,0,3,0,2570086,16.0,5,-229297,98738,328035,125,2023-08-27
221,2023-09-03,Sun,4,Home,W 3–0,Liverpool,Aston Villa,Y,RW,90,1,0,0,0,4,3,0,0,40,2,0,0,0.8,0.8,0.4,5,0,22,27,4,24,3,3,0,302,70,14,16,7,7,1,2,0.1,2,2,2,0,27,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,3,1,0,0,0,0,0,0,22,18,10,111.0,55.0,0,3,1,1,30,6,0,26,1,23.1,18.3,45.2,2023-09-03 13:00:00+00:00,90,0,4,0,2505698,115.0,8,-122416,74612,197028,125,2023-09-03
